"Statistic Label","Month","Residency","Expenditure Type","UNIT","VALUE"
"Expenditure of Overnight Foreign Visitors","2023  January","Great Britain (England, Scotland & Wales)","Fare","Euro Million","19.6"
"Expenditure of Overnight Foreign Visitors","2023  January","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","1"
"Expenditure of Overnight Foreign Visitors","2023  January","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","13.5"
"Expenditure of Overnight Foreign Visitors","2023  January","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","45.1"
"Expenditure of Overnight Foreign Visitors","2023  January","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","79.2"
"Expenditure of Overnight Foreign Visitors","2023  January","Other Europe (3)","Fare","Euro Million","22.7"
"Expenditure of Overnight Foreign Visitors","2023  January","Other Europe (3)","Prepayments","Euro Million","0.5"
"Expenditure of Overnight Foreign Visitors","2023  January","Other Europe (3)","Accommodation","Euro Million","28.5"
"Expenditure of Overnight Foreign Visitors","2023  January","Other Europe (3)","Day-to-Day Expenditure","Euro Million","58.9"
"Expenditure of Overnight Foreign Visitors","2023  January","Other Europe (3)","All Travel Expenditure","Euro Million","110.6"
"Expenditure of Overnight Foreign Visitors","2023  January","USA & Canada","Fare","Euro Million","35.2"
"Expenditure of Overnight Foreign Visitors","2023  January","USA & Canada","Prepayments","Euro Million","1.3"
"Expenditure of Overnight Foreign Visitors","2023  January","USA & Canada","Accommodation","Euro Million","14.1"
"Expenditure of Overnight Foreign Visitors","2023  January","USA & Canada","Day-to-Day Expenditure","Euro Million","26.8"
"Expenditure of Overnight Foreign Visitors","2023  January","USA & Canada","All Travel Expenditure","Euro Million","77.4"
"Expenditure of Overnight Foreign Visitors","2023  January","Other Residencies","Fare","Euro Million","20.8"
"Expenditure of Overnight Foreign Visitors","2023  January","Other Residencies","Prepayments","Euro Million","0.8"
"Expenditure of Overnight Foreign Visitors","2023  January","Other Residencies","Accommodation","Euro Million","9.3"
"Expenditure of Overnight Foreign Visitors","2023  January","Other Residencies","Day-to-Day Expenditure","Euro Million","31.3"
"Expenditure of Overnight Foreign Visitors","2023  January","Other Residencies","All Travel Expenditure","Euro Million","62.3"
"Expenditure of Overnight Foreign Visitors","2023  January","All Residencies","Fare","Euro Million","98.4"
"Expenditure of Overnight Foreign Visitors","2023  January","All Residencies","Prepayments","Euro Million","3.6"
"Expenditure of Overnight Foreign Visitors","2023  January","All Residencies","Accommodation","Euro Million","65.4"
"Expenditure of Overnight Foreign Visitors","2023  January","All Residencies","Day-to-Day Expenditure","Euro Million","162"
"Expenditure of Overnight Foreign Visitors","2023  January","All Residencies","All Travel Expenditure","Euro Million","329.5"
"Expenditure of Overnight Foreign Visitors","2023 February","Great Britain (England, Scotland & Wales)","Fare","Euro Million","18.8"
"Expenditure of Overnight Foreign Visitors","2023 February","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","1"
"Expenditure of Overnight Foreign Visitors","2023 February","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","18.7"
"Expenditure of Overnight Foreign Visitors","2023 February","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","40.4"
"Expenditure of Overnight Foreign Visitors","2023 February","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","78.8"
"Expenditure of Overnight Foreign Visitors","2023 February","Other Europe (3)","Fare","Euro Million","19"
"Expenditure of Overnight Foreign Visitors","2023 February","Other Europe (3)","Prepayments","Euro Million","0.7"
"Expenditure of Overnight Foreign Visitors","2023 February","Other Europe (3)","Accommodation","Euro Million","36.9"
"Expenditure of Overnight Foreign Visitors","2023 February","Other Europe (3)","Day-to-Day Expenditure","Euro Million","53.5"
"Expenditure of Overnight Foreign Visitors","2023 February","Other Europe (3)","All Travel Expenditure","Euro Million","110.1"
"Expenditure of Overnight Foreign Visitors","2023 February","USA & Canada","Fare","Euro Million","21.4"
"Expenditure of Overnight Foreign Visitors","2023 February","USA & Canada","Prepayments","Euro Million","0.5"
"Expenditure of Overnight Foreign Visitors","2023 February","USA & Canada","Accommodation","Euro Million","18.9"
"Expenditure of Overnight Foreign Visitors","2023 February","USA & Canada","Day-to-Day Expenditure","Euro Million","22"
"Expenditure of Overnight Foreign Visitors","2023 February","USA & Canada","All Travel Expenditure","Euro Million","62.8"
"Expenditure of Overnight Foreign Visitors","2023 February","Other Residencies","Fare","Euro Million","7.9"
"Expenditure of Overnight Foreign Visitors","2023 February","Other Residencies","Prepayments","Euro Million","0.3"
"Expenditure of Overnight Foreign Visitors","2023 February","Other Residencies","Accommodation","Euro Million","8.6"
"Expenditure of Overnight Foreign Visitors","2023 February","Other Residencies","Day-to-Day Expenditure","Euro Million","16.2"
"Expenditure of Overnight Foreign Visitors","2023 February","Other Residencies","All Travel Expenditure","Euro Million","33"
"Expenditure of Overnight Foreign Visitors","2023 February","All Residencies","Fare","Euro Million","67.1"
"Expenditure of Overnight Foreign Visitors","2023 February","All Residencies","Prepayments","Euro Million","2.5"
"Expenditure of Overnight Foreign Visitors","2023 February","All Residencies","Accommodation","Euro Million","83.1"
"Expenditure of Overnight Foreign Visitors","2023 February","All Residencies","Day-to-Day Expenditure","Euro Million","132.1"
"Expenditure of Overnight Foreign Visitors","2023 February","All Residencies","All Travel Expenditure","Euro Million","284.7"
"Expenditure of Overnight Foreign Visitors","2023 March","Great Britain (England, Scotland & Wales)","Fare","Euro Million","24.7"
"Expenditure of Overnight Foreign Visitors","2023 March","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","1.2"
"Expenditure of Overnight Foreign Visitors","2023 March","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","28.9"
"Expenditure of Overnight Foreign Visitors","2023 March","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","47.3"
"Expenditure of Overnight Foreign Visitors","2023 March","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","102.1"
"Expenditure of Overnight Foreign Visitors","2023 March","Other Europe (3)","Fare","Euro Million","24.3"
"Expenditure of Overnight Foreign Visitors","2023 March","Other Europe (3)","Prepayments","Euro Million","0.9"
"Expenditure of Overnight Foreign Visitors","2023 March","Other Europe (3)","Accommodation","Euro Million","51.3"
"Expenditure of Overnight Foreign Visitors","2023 March","Other Europe (3)","Day-to-Day Expenditure","Euro Million","62.3"
"Expenditure of Overnight Foreign Visitors","2023 March","Other Europe (3)","All Travel Expenditure","Euro Million","138.8"
"Expenditure of Overnight Foreign Visitors","2023 March","USA & Canada","Fare","Euro Million","45.6"
"Expenditure of Overnight Foreign Visitors","2023 March","USA & Canada","Prepayments","Euro Million","4.5"
"Expenditure of Overnight Foreign Visitors","2023 March","USA & Canada","Accommodation","Euro Million","44.4"
"Expenditure of Overnight Foreign Visitors","2023 March","USA & Canada","Day-to-Day Expenditure","Euro Million","50.4"
"Expenditure of Overnight Foreign Visitors","2023 March","USA & Canada","All Travel Expenditure","Euro Million","145"
"Expenditure of Overnight Foreign Visitors","2023 March","Other Residencies","Fare","Euro Million","9.9"
"Expenditure of Overnight Foreign Visitors","2023 March","Other Residencies","Prepayments","Euro Million","0.2"
"Expenditure of Overnight Foreign Visitors","2023 March","Other Residencies","Accommodation","Euro Million","11.8"
"Expenditure of Overnight Foreign Visitors","2023 March","Other Residencies","Day-to-Day Expenditure","Euro Million","20.1"
"Expenditure of Overnight Foreign Visitors","2023 March","Other Residencies","All Travel Expenditure","Euro Million","42"
"Expenditure of Overnight Foreign Visitors","2023 March","All Residencies","Fare","Euro Million","104.4"
"Expenditure of Overnight Foreign Visitors","2023 March","All Residencies","Prepayments","Euro Million","6.9"
"Expenditure of Overnight Foreign Visitors","2023 March","All Residencies","Accommodation","Euro Million","136.4"
"Expenditure of Overnight Foreign Visitors","2023 March","All Residencies","Day-to-Day Expenditure","Euro Million","180.1"
"Expenditure of Overnight Foreign Visitors","2023 March","All Residencies","All Travel Expenditure","Euro Million","427.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Fare","Euro Million","28.3"
"Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","1.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","27.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","57.8"
"Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","116"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Fare","Euro Million","30.7"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Prepayments","Euro Million","3.3"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Accommodation","Euro Million","56.7"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Day-to-Day Expenditure","Euro Million","72.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","All Travel Expenditure","Euro Million","163.6"
"Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Fare","Euro Million","55.8"
"Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Prepayments","Euro Million","5.7"
"Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Accommodation","Euro Million","51.8"
"Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Day-to-Day Expenditure","Euro Million","65.6"
"Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","All Travel Expenditure","Euro Million","178.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Fare","Euro Million","8.2"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Prepayments","Euro Million","1.1"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Accommodation","Euro Million","9.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Day-to-Day Expenditure","Euro Million","16"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","All Travel Expenditure","Euro Million","35.2"
"Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Fare","Euro Million","123.1"
"Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Prepayments","Euro Million","12.1"
"Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Accommodation","Euro Million","146.3"
"Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Day-to-Day Expenditure","Euro Million","212.3"
"Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","All Travel Expenditure","Euro Million","493.8"
"Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Fare","Euro Million","28.8"
"Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","3.2"
"Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","35.5"
"Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","56.5"
"Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","123.9"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Fare","Euro Million","41.3"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Prepayments","Euro Million","4"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Accommodation","Euro Million","91"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Day-to-Day Expenditure","Euro Million","92.1"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","All Travel Expenditure","Euro Million","228.4"
"Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Fare","Euro Million","72"
"Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Prepayments","Euro Million","9.9"
"Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Accommodation","Euro Million","86.3"
"Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Day-to-Day Expenditure","Euro Million","71"
"Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","All Travel Expenditure","Euro Million","239.2"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Fare","Euro Million","8.8"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Prepayments","Euro Million","0.9"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Accommodation","Euro Million","9.4"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Day-to-Day Expenditure","Euro Million","17.7"
"Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","All Travel Expenditure","Euro Million","36.8"
"Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Fare","Euro Million","150.9"
"Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Prepayments","Euro Million","17.9"
"Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Accommodation","Euro Million","222.2"
"Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Day-to-Day Expenditure","Euro Million","237.3"
"Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","All Travel Expenditure","Euro Million","628.3"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Fare","Euro Million","37.5"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","5.9"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","44.8"
